,query,title,source,excerpt,date
135,semiconductor,What this Dutch semiconductor company could tell you about the car market,Marketplace.org,"NXP makes semiconductors that go into both the body and brain of a car. Its 
chips make seats recline, tell windows to roll up and even let the ...",1 week ago
136,semiconductor,"SkyWater CEO: America Is Losing the War for Semiconductors to Asian 
Manufacturers. National Security Is at Risk.",Barron's,"About the author: Thomas Sonderman is president and CEO of SkyWater 
(ticker: SKYT), a U.S.-based semiconductor foundry.",3 weeks ago
137,semiconductor,"China is buying up chip firms in a push for semiconductor supremacy, says 
UK lawmaker",CNBC,"LONDON — A U.K. lawmaker believes China is using questionable methods to 
ensure it becomes a world leader in semiconductor technology.",3 weeks ago
138,microchip,Mythbuster: Pet microchips are not GPS tracking devices,WZZM 13,"Microchips also allow owners to send out an S.O.S.. “If your dog becomes 
lost, you can call the microchip company and report they are lost, ...",2 weeks ago
139,microchip,Chinese chipmakers slump after Beijing sends speculation warning,The Business Times,"CHINA'S microchip industry is feeling the heat of Beijing's regulatory 
scrutiny. A warning in state media last Friday that regulators will ...",6 hours ago
140,microchip,ON Semiconductors: Another Reason To Get Bullish On ...,Investing.com,"Global systemic demand for microchips has sparked a secular upcycle in the 
microchip industry. ON Semiconductor's exposure to the OEM auto ...",6 days ago
141,microchip,China To Investigate Possible Microchip Distributor Price Gouging,GM Authority,"Demand for microchips is at an all-time high as supplies continue to 
dwindle worldwide, forcing automakers to cut back on production and ...",5 days ago
142,microchip,Microchip backup results in barren auto dealer lots around the ...,Duluth News Tribune,"The main driver of the shortage is a lack of microchips caused by a slow 
down in production. ""We don't have any new cars at the moment,"" Lowth ...",4 weeks ago
143,microchip,"5 Stories: Manicures with microchips, Dorothy’s dress finds its way home 
and other stories you missed",PBS,"A customer gets a microchip, containing personal data, attached to one of 
her nails at Lanour Beauty Lounge in Dubai.",3 weeks ago
144,microchip,"Security fears may hinder takeover of UK microchip giant as ministers 
prepare to intervene",Daily Mail,"Ministers could intervene in the proposed takeover of UK microchip maker 
Arm · Regulators have raised worries the £30bill deal could weaken ...",6 days ago
145,microchip,"Stellantis says microchip shortage which stopped production likely to 
continue into 2022",MyStateline.com,"(WTVO) — A global microchip shortage is dragging on, holding up 
manufacturing industries which rely on the technology, including car 
production ...",3 weeks ago
146,microchip,"Tough trails won't stop a Jeep Gladiator, but a microchip just did",Driving.ca,"Tough trails won't stop a Jeep Gladiator, but a microchip just did. 
Production comes to a halt on the off-road truck due to the global ...",1 week ago
147,microchip,"Truist Securiti Brokers Boost Earnings Estimates for Microchip Technology 
Incorporated (NASDAQ:MCHP)",MarketBeat,"Microchip Technology Incorporated (NASDAQ:MCHP) - Investment analysts at 
Truist Securiti upped their FY2022 earnings per share estimates for ...",1 day ago
148,semiconductor,How the global semiconductor tussle is shaping ASML’s future,Financial Times,"However, like other semiconductor players, ASML is trapped in the 
tightening vice between the US and China as they vie for technological ...",2 weeks ago
149,semiconductor,ON Semiconductor changes its name and looks toward a green future,ABC15 Arizona,"ON Semiconductor (Nasdaq: ON) is now known as onsemi and the company said 
the shift goes hand in hand with its renewed focus on the ...",3 days ago
150,semiconductor,Tencent makes foray into semiconductor chip business,Global Times,"New postings for semiconductor chips development jobs on the official 
website of Tencent have sparked speculation that the Chinese tech ...",3 weeks ago
151,semiconductor,Explained: What makes semiconductors critical to multiple industries,India Today,"WHAT ARE SEMICONDUCTOR CHIPS? ... Integrated into complex, microelectronic 
circuits, semiconductors enable functions such as high-computing, ...",3 weeks ago
152,semiconductor,Global Semiconductor Market Size Growing at 6.81 Percent ...,PR Newswire,"NEW YORK, Aug.6, 2021 /PRNewswire/ -- The Semiconductor market will 
register an incremental spend of about USD 171.69 Billion, growing at a ...",3 days ago
153,semiconductor,Europe's call for semiconductor factories: A solution in search ...,LSE Blogs,"Supply chain bottlenecks and chip shortages for the car industry have led 
to calls for Europe to develop its own semiconductor capacity.",6 days ago
154,semiconductor,"Transparency Is Critical as Semiconductor Industry Works to Meet Surging 
Demand",Nasdaq,"As the semiconductor industry grapples with surging demand, transparency 
into the supply chain is critical, according to Mike Splinter, chairman ...",4 weeks ago
155,semiconductor,Intel to Invest $20b in Semiconductor Production in Europe,Electropages,"Why are nations moving towards semiconductor self-sufficiency? The 
semiconductor shortage of 2020 / 2021 has been at the centre of attention 
in ...",3 days ago
156,semiconductor,Taiwan Semiconductor's Earnings Raise Doubts Over Outlook,Barron's,"Taiwan Semiconductor Manufacturing Co. had good news and bad news for tech 
investors. The company reported second-quarter revenue that was a ...",3 weeks ago
157,semiconductor,"GM keeps on trucking despite Covid, semiconductor concerns",The Business Times,"GM said its more bullish full-year outlook depended on having no vehicles 
stuck in inventory because of a lack of semiconductors.",5 days ago
158,microchip,"Tough trails won't stop a Jeep Gladiator, but a microchip just did",Driving.ca,"Tough trails won't stop a Jeep Gladiator, but a microchip just did. 
Production comes to a halt on the off-road truck due to the global ...",1 week ago
159,microchip,"Truist Securiti Brokers Boost Earnings Estimates for Microchip Technology 
Incorporated (NASDAQ:MCHP)",MarketBeat,"Microchip Technology Incorporated (NASDAQ:MCHP) - Investment analysts at 
Truist Securiti upped their FY2022 earnings per share estimates for ...",1 day ago
160,microchip,Bay County microchip maker building $300 million plant with ...,ABC12,"Bay County microchip maker building $300 million plant with 150 new jobs. 
SK Siltron CSS is opening a new plant in Bay City.",4 weeks ago
161,microchip,"No, the COVID vaccine doesn’t have a microchip. How NJ doctors are fighting 
misinformation",Asbury Park Press,"No, the COVID vaccine doesn't have a microchip. How NJ doctors are fighting 
misinformation. Michael L. Diamond. Asbury Park Press.",5 days ago
162,microchip,BMW posts strong Q2 earnings but warns on chip shortage,Automotive News Europe,"BMW raised its profit forecast for 2021 after strong quarterly results, but 
warned that the global semiconductor shortage and rising raw ...",6 days ago
163,microchip,"Sale of a Welsh microchip manufacturer to China major concern - ex cyber 
chief",WalesOnline,"Sale of a Welsh microchip manufacturer to China company poses greater 
threat than Huawei says former cyber chief. Boris Johnson has asked ...",2 weeks ago
164,microchip,Volusia County Schools' students showcase their art in gallery,Ormond Beach Observer,"This drive-thru pet microchip event will take place from 8 a.m. to 4 p.m., 
... Microchips are about the size of a grain of rice and are ...",10 hours ago
165,microchip,Kanawha Valley auto dealers coping with microchip shortage,Charleston Gazette,"Salesman James May has the new-car sales lot to himself Wednesday, a 
reflection of microchip shortages stemming from COVID-19. Area dealers 
are ...",2 weeks ago
166,microchip,"Houston sisters reunited with lost puppy who was adopted to another family 
despite being microchipped",Click2Houston,"Brianna kept Byron's microchip information in her wallet in case she would 
ever need it. The two checked frequently, but after more than a year, ...",1 month ago
167,microchip,Microchips driving new and used car prices up,10TV,"Despite a global microchip shortage continuing to throw a wrench in the 
auto industry, sales are expected to stay strong, according to ...",3 weeks ago
168,semiconductor,Is It Too Late to Buy This Semiconductor Stock After 58% Gains?,The Motley Fool,"The growing appetite for semiconductors has turned out to be a boon for 
ASML. · The company has seen a sharp spike in revenue and earnings as 
the ...",6 days ago
169,semiconductor,Peking University joins China's semiconductor push ...,The Bangkok Post,"Meanwhile, Tsinghua University created a semiconductor college in April, 
leveraging its strengths in science and engineering. The new school at ...",3 weeks ago
170,semiconductor,Area dealers: Scarcity of new vehicles the result of ...,Greenfield Recorder,"The COVID-19 pandemic abruptly shut down auto factories for a few months 
last year and manufacturers of semiconductor chips — which go into ...",7 hours ago
171,semiconductor,Intel's CEO lays out plan to reclaim semiconductor crown,MarketWatch,"The race is on at Intel Corp. as the semiconductor giant pledges to return 
to the top of its game, committing to produce the world's best ...",2 weeks ago
172,semiconductor,15 Best Semiconductor Stocks to Buy Now,Yahoo Finance,"The U.S. is home to some of the biggest semiconductor companies in the 
world, including Intel Corporation (NASDAQ: INTC), NVIDIA Corporation ( ...",1 month ago
173,semiconductor,Semiconductor Market in East Asia to grow by USD 84.41 ...,PR Newswire,"2, 2021 /PRNewswire/ -- The semiconductor market in East Asia is set to 
grow by USD 84.41 billion, progressing at a CAGR of almost 6% during ...",1 week ago
174,semiconductor,ON Semiconductor Reports Record Revenue and Non-GAAP ...,Business Wire,"PHOENIX--(BUSINESS WIRE)--ON Semiconductor Corporation (Nasdaq: ON) today 
announced results for the second quarter of 2021 with the ...",1 week ago
175,semiconductor,Semiconductor crisis hits Maruti Suzuki; production partially impacted,Autocar India,"Semiconductor shortage still affecting automotive industry · Passenger 
vehicles use around 1,000 semiconductors · Automotive sector not biggest ...",3 days ago
176,semiconductor,"Semiconductor wafer producer SK Siltron CSS to invest $300M in US to boost 
EV supply chain",TechCrunch,"Now, it might be strengthening that hold. SK Siltron CSS, a unit of South 
Korean semiconductor wafer manufacturer SK Siltron, announced ...",4 weeks ago
177,semiconductor,"From Ford trucks to Xbox, the chip shortage is still causing problems",Vox,"When car demand returned and automakers needed semiconductors again, ... 
concluded a 100-day review of the US semiconductor supply chain, ...",4 days ago
178,microchip,Volusia County Schools' students showcase their art in gallery,Ormond Beach Observer,"This drive-thru pet microchip event will take place from 8 a.m. to 4 p.m., 
... Microchips are about the size of a grain of rice and are ...",10 hours ago
179,microchip,The latest numbers on the automotive microchip shortage,Automotive News Canada,"New shortages in microchip supplies have caused a spate of additional 
cutbacks in North American vehicle production, according to the latest ...",3 weeks ago
180,microchip,Microchips driving new and used car prices up,10TV,"Despite a global microchip shortage continuing to throw a wrench in the 
auto industry, sales are expected to stay strong, according to ...",3 weeks ago
181,microchip,"GBT Filed a Nonprovisional Patent Application - IC Layout Design Rule 
Automatic Correction",Yahoo Finance,"""This patent is a major game changer especially for advanced microchips of 
7nm and below. As microchip's manufacturing processes design rules ...",5 days ago
182,microchip,"Microchips? Infertility? Health experts tackle myths, rumors about COVID 
vaccines",The Kansas City Star,"And in COVID-ravaged southwest Missouri, Ozarks Healthcare CEO Tom Keller 
has fought off rumors that Bill Gates put a microchip in the ...",4 days ago
183,microchip,"Shelters ask pet owners to microchip pets, to locate lost pets ...",WSIL,"Microchipping is a process where a small needle inserts a tiny chip into 
the shoulder of a dog or cat, allowing vets and shelters to identify ...",4 weeks ago
184,microchip,Majority of dogs at risk of never going home if they go missing,Charity Today,"Microchipping of dogs has been compulsory in Great Britain since 2016 ... 
Battersea is urging owners and microchip databases to do all they ...",3 days ago
185,microchip,Time of Flight (ToF) Camera Market Size and Growth 2021 ...,KhelPanda,"... Players – SoftKinetic (Sony), Microchip Technology, IFM Electronic 
GmbH, PrimeSense (Apple), MESA (Heptagon), Melexis, ifm Electronic.",11 hours ago
186,microchip,"Microchip shortage sees Chrysler factory in Windsor shut back down after 
one week up",Driving.ca,"“Due to the unprecedented global microchip shortage, production at the 
Windsor Assembly Plant will be down the week of July 12.”.",1 month ago
187,microchip,Used Car Pricing Will Remain Inflated Until Microchips Arrive,GM Authority,"The ongoing semiconductor microchip shortage has been a major disruptor to 
the automotive industry, diminishing inventory levels and leaving ...",13 mins ago
188,semiconductor,Intel's CEO lays out plan to reclaim semiconductor crown,MarketWatch,"The race is on at Intel Corp. as the semiconductor giant pledges to return 
to the top of its game, committing to produce the world's best ...",2 weeks ago
189,semiconductor,Semiconductor Market in East Asia to grow by USD 84.41 ...,PR Newswire,"2, 2021 /PRNewswire/ -- The semiconductor market in East Asia is set to 
grow by USD 84.41 billion, progressing at a CAGR of almost 6% during ...",1 week ago
190,semiconductor,Semiconductor crisis hits Maruti Suzuki; production partially impacted,Autocar India,"Semiconductor shortage still affecting automotive industry · Passenger 
vehicles use around 1,000 semiconductors · Automotive sector not biggest ...",3 days ago
191,semiconductor,"Semiconductor wafer producer SK Siltron CSS to invest $300M in US to boost 
EV supply chain",TechCrunch,"Now, it might be strengthening that hold. SK Siltron CSS, a unit of South 
Korean semiconductor wafer manufacturer SK Siltron, announced ...",4 weeks ago
192,semiconductor,"From Ford trucks to Xbox, the chip shortage is still causing problems",Vox,"When car demand returned and automakers needed semiconductors again, ... 
concluded a 100-day review of the US semiconductor supply chain, ...",4 days ago
193,semiconductor,Taiwan facing talent shortages in semiconductor sector,Taiwan News,"Job vacancies in semiconductor industry hit six-year high in Q2 2021 ... 
TAIPEI (Taiwan News) — Taiwanese tech companies are craving talent, as a ...",5 days ago
194,semiconductor,"ON Semiconductor Reports Record Revenue and Non-GAAP Earnings per Share for 
Second Quarter 2021",Yahoo Finance,"ON Semiconductor Reports Record Revenue and Non-GAAP Earnings per Share for 
Second Quarter 2021. Mon, August 2, 2021, 5:00 AM ·11 min read. In this 
article:.",1 week ago
195,semiconductor,ON Semiconductor Corporation (ON) Q2 2021 Earnings Call Transcript,The Motley Fool,"Good morning, and thank you for joining ON Semiconductor Corporation's 
second quarter 2021 quarterly results conference call. I'm joined today ...",5 days ago
196,semiconductor,Semiconductor Shortage: Foxconn Acquires 6-inch Wafer Fab,Manufacturing Global,"Semiconductor Shortage: Foxconn Acquires 6-inch Wafer Fab ... “Although 
there are signs that the supply bottlenecks for semiconductors are ...",3 days ago
197,semiconductor,"Advanced Micro Devices vs. Micron Technology: Which Semiconductor Stock is 
a Better Buy?",Yahoo Finance,"Semiconductors certainly receive their fair share of media coverage. ... If 
you are uncertain which semiconductor stock is best for your ...",3 days ago
198,microchip,Smart Electric Meters Market 2021 High Growth Forecast due ...,The Market Writeuo -,"... Rising Demand and Future Trends | Key Companies: Landis+Gyr (Toshiba 
Corporation), Itron, Honeywell, Aclara, Microchip Technology, Iskr…",6 hours ago
199,microchip,Subaru continues to feel pinch from microchip shortage,Courier-Post,"CAMDEN - Subaru of America has reported another drop in monthly sales due 
to a global shortage of microchips.",5 days ago
200,microchip,"Amidst Microchip and Parts Shortage, Used Car Prices Higher ...",Alabama News Network,"The market for used cars is directly intertwined with the new car market. 
Right now, there is a shortage in microchips and other parts. As ...",4 weeks ago
201,microchip,Billionaires Elon Musk's Brain Microchip Company Neuralink ...,Market Realist,"Neuralink aims to treat brain-related ailments with microchips. Musk, who 
is most known as the founder of the Tesla electric car company and ...",6 days ago
202,microchip,Horse Racing Ireland contacts gardaí over claim wrong ...,Independent.ie,"The move follows a BBC Panorama documentary which claimed a microchip 
belonging to the horse Tammy's Hill, who died in 2014, was found in ...",3 weeks ago
203,microchip,CPL 2021: CPL to use smart ball with embedded microchip,InsideSport,"CPL 2021: Caribbean Premier League to use smart ball with embedded 
microchip: At this year's Hero Caribbean Premier League (CPL) the ...",1 week ago
204,microchip,SiC Power Modules: An Alternative to Si IGBTs for Industrial ...,Electronic Design,"Among the features of Microchip's new 1,700-V modules are significantly 
increased efficiency, higher switching frequency, and improved ...",1 week ago
205,microchip,UK Government again refuses to intervene in Chinese ...,ITV,"The UK Government says that it does not plan to intervene in the takeover 
of a Welsh microchip firm by a Chinese-owned company, ...",3 weeks ago
206,microchip,"From fertility to microchips, top doctor debunks these viral COVID vaccine 
myths in MS",Sun Herald,"From fertility to microchips, top doctor debunks these viral COVID vaccine 
... uses COVID vaccines to microchip people, which is a false conspiracy 
theory.",6 days ago
207,semiconductor,"Semiconductor shortages could last into 2023, Supplyframe ...",Supply Chain Quarterly,"A global shortage of semiconductors could stretch into the first ... 
Computer chips are in short supply as semiconductor production and ...",2 weeks ago
208,semiconductor,Semiconductor industry faces concerns about making too many chips,South China Morning Post,"Texas Instruments, one of world's largest chip makers, worries industry 
will make too many semiconductors. Amid a surge in investment to expand ...",2 weeks ago
209,semiconductor,"Why chip stocks are falling despite semiconductor shortage, strong early 
earnings",MarketWatch,"Why chip stocks are falling despite semiconductor shortage, strong early 
earnings. Last Updated: July 23, 2021 at 8:20 a.m. ET First Published: ...",2 weeks ago
210,semiconductor,"Elmos Semiconductor SE: Public share buyback offer of up to 1,780,000 
shares at an offer price of 36.00 Euro per Elmos share",Yahoo Sport UK,"DGAP-News: Elmos Semiconductor SE / Key word(s): Corporate Action/Share 
Buyback 09.08.2021 / 22:30. The issuer is solely responsible for the ...",7 hours ago
211,semiconductor,Frontken 2Q earnings climb to RM24.74mil on strong ...,The Star,"The semiconductor manufacturing services provider said revenue was up 
23.97% year-on-year (y-o-y) to RM108.63mil from RM87.62mil as volume ...",1 week ago
212,semiconductor,"Lam Research tops $4 billion in quarterly sales for first time amid 
semiconductor shortage",MarketWatch,"Lam Research Corp. sold more than $4 billion worth of 
semiconductor-manufacturing equipment and services in a single quarter for 
the first ...",2 weeks ago
213,semiconductor,Seoul Semiconductor Reports Second Quarter Operating ...,Business Wire,"Seoul Semiconductor Reports Second Quarter Operating Profit up 70% on Year. 
Reported KRW 336.8 billion revenue for the second quarter 2021, all- ...",4 days ago
214,semiconductor,Taiwan gives TSMC green light for most advanced chip plant,Nikkei Asia,"TAIPEI -- Taiwan Semiconductor Manufacturing Co. has received final 
approval to build its most advanced chip plant yet, a day after U.S. ...",2 weeks ago
215,semiconductor,Samsung still interested in NXP Semiconductor,The Korea Times,"Unlike semiconductors for use in AI devices, smartphones, computers and 
servers, automotive chips have thinner margins. But with the rapid ...",4 days ago
216,semiconductor,"Maruti Suzuki production to be partially impacted in Aug due to 
semiconductor shortage",Business Today,"“This is to inform you that owing to the semiconductor shortage situation 
... or India that has been impacted by shortage of semiconductors.",5 days ago
217,microchip,Horse Racing Ireland contacts gardaí over claim wrong ...,Independent.ie,"The move follows a BBC Panorama documentary which claimed a microchip 
belonging to the horse Tammy's Hill, who died in 2014, was found in ...",3 weeks ago
218,microchip,CPL 2021: CPL to use smart ball with embedded microchip,InsideSport,"CPL 2021: Caribbean Premier League to use smart ball with embedded 
microchip: At this year's Hero Caribbean Premier League (CPL) the ...",1 week ago
219,microchip,SiC Power Modules: An Alternative to Si IGBTs for Industrial ...,Electronic Design,"Among the features of Microchip's new 1,700-V modules are significantly 
increased efficiency, higher switching frequency, and improved ...",1 week ago
220,microchip,"20% of Americans believe government is injecting microchips in COVID-19 
vaccines, survey finds",WGNO.com,"20% of Americans believe government is injecting microchips in COVID-19 
vaccines, survey finds. Coronavirus. by: Nexstar Media Wire. Posted: Jul ...",1 week ago
221,microchip,"From fertility to microchips, top doctor debunks these viral COVID vaccine 
myths in MS",Sun Herald,"From fertility to microchips, top doctor debunks these viral COVID vaccine 
... uses COVID vaccines to microchip people, which is a false conspiracy 
theory.",6 days ago
222,microchip,"Domestic travel, microchip shortage contributing to Canadian rental car 
shortage",News 1130,"An uptick of domestic Canadian travellers, the fact most car rental 
companies sold off a lot of their fleet, and a global microchip shortage ...",2 weeks ago
223,microchip,Production Of Popular Jeep Gladiator Halted Due To Chip Shortage,Motor1.com,"The global microchip shortage has claimed its latest victim. ... but the 
scarcity of microchips makes full-scale production difficult.",1 week ago
224,microchip,Electric Smart Meters Market Innovative Strategy by 2028 ...,The Market Gossip -,"Microchip Technology, Networked Energy Services, Schneider Electric, 
Iskraemeco, Wasion Group, Siemens, Jiangsu Linyang, Honeywell, ...",4 days ago
225,semiconductor,Semiconductor industry faces concerns about making too many chips,South China Morning Post,"Texas Instruments, one of world's largest chip makers, worries industry 
will make too many semiconductors. Amid a surge in investment to expand ...",2 weeks ago
226,semiconductor,"Elmos Semiconductor SE: Public share buyback offer of up to 1,780,000 
shares at an offer price of 36.00 Euro per Elmos share",Yahoo Sport UK,"DGAP-News: Elmos Semiconductor SE / Key word(s): Corporate Action/Share 
Buyback 09.08.2021 / 22:30. The issuer is solely responsible for the ...",7 hours ago
227,semiconductor,Frontken 2Q earnings climb to RM24.74mil on strong ...,The Star,"The semiconductor manufacturing services provider said revenue was up 
23.97% year-on-year (y-o-y) to RM108.63mil from RM87.62mil as volume ...",1 week ago
228,semiconductor,"Lam Research tops $4 billion in quarterly sales for first time amid 
semiconductor shortage",MarketWatch,"Lam Research Corp. sold more than $4 billion worth of 
semiconductor-manufacturing equipment and services in a single quarter for 
the first ...",2 weeks ago
229,semiconductor,Samsung still interested in NXP Semiconductor,The Korea Times,"Unlike semiconductors for use in AI devices, smartphones, computers and 
servers, automotive chips have thinner margins. But with the rapid ...",4 days ago
230,semiconductor,Seoul Semiconductor Reports Second Quarter Operating ...,Business Wire,"Seoul Semiconductor Reports Second Quarter Operating Profit up 70% on Year. 
Reported KRW 336.8 billion revenue for the second quarter 2021, all- ...",4 days ago
231,semiconductor,Taiwan gives TSMC green light for most advanced chip plant,Nikkei Asia,"TAIPEI -- Taiwan Semiconductor Manufacturing Co. has received final 
approval to build its most advanced chip plant yet, a day after U.S. ...",2 weeks ago
232,semiconductor,"Maruti Suzuki production to be partially impacted in Aug due to 
semiconductor shortage",Business Today,"“This is to inform you that owing to the semiconductor shortage situation 
... or India that has been impacted by shortage of semiconductors.",5 days ago
233,semiconductor,AKHAN Semiconductor Fabricates First of its Kind 300MM ...,Business Wire,"To produce the world's most advanced technologies, semiconductor 
fabricators traditionally rely on 300MM silicon wafers despite the fact 
that ...",2 weeks ago
234,semiconductor,GlobalFoundries to double semiconductor capacity in US | News,Automotive Logistics,"A wafer is a thin slice of semiconductor, such as a crystalline silicon, 
used for the fabrication of integrated circuits. Both moves are designed to 
address the ...",3 weeks ago
235,microchip,Automotive Ethernet Market Research 2021-2027 With ...,The Manomet Current –,"Microchip Technology, TE Connectivity, Broadcom, Toshiba, NXP 
Semiconductors, Realtek Semiconductor, Infineon Technologies, Marvell.",1 day ago
236,microchip,3D Sensors Market (COVID-19) to Witness Astonishing ...,The Manomet Current –,"... Growth by Forecast 2021-2027 |Infineon Technologies, Microchip 
Technology, Omnivision Technologies, PMD Technologies, Softkinetic, etc.",15 hours ago
237,microchip,"Yes, the global microchip shortage is COVID's fault. No, it won ...",GCN,"Yes, the global microchip shortage is COVID's fault. No, it won't end any 
time soon. By John L. Hopkins; Jun 08, 2021. The manufacturing world is 
facing one ...",8 Jun 2021
238,microchip,"Pima Animal Care Center offers free pet vaccines, microchips",KOLD,"PACC is now using a virtual sign-up feature using the system Wait While. 
Pet owners can sign up for the free vaccination and microchip clinic on ...",4 weeks ago
239,microchip,"Worldwide vehicle shortage tied to microchip inventory crisis - The Global 
Herald",The Global Herald,"Demand for vehicles is soaring but that's helped create a shortage of 
microchips, a key component for autos. (Laurent Pirot/CBC / Radio-Canada).",6 days ago
240,microchip,Pets for adoption | Pets,Pets for adoption | Pets | tucson.com,"Adoption includes spaying or neutering, vaccinations, microchip and a free 
vet visit. A $20 license fee applies to adult dogs. Pima Animal Care ...",6 days ago
241,microchip,Microchip hails JEDEC qualification 'first' for FPGA,Aerospace Manufacturing,"Microchip Technology has unveiled the first Radiation Tolerant (RT) FPGA 
that offers the low cost of a JEDEC-qualified plastic package ...",1 month ago
242,microchip,"Report: These used cars, trucks had the greatest year-over-year price 
increases in Seattle",Seattle PI,"“The microchip shortage has brought historic used car price increases, so 
much so that some lightly used cars are more expensive than new models ...",15 hours ago
243,microchip,These were the slowest-selling cars in each state last month,KDVR,"The microchip shortage continues to impact new and used car sales as 
production interruptions lower new car and used car supply.",1 day ago
244,microchip,"Reluctant to be vaccinated for COVID-19? Here are six myths you can put to 
rest",The Conversation,"Myth 4: Vaccines have a microchip that will track and control an 
individual. This conspiracy theory has been propagated by anti-vaxxers 
who ...",1 week ago
245,microchip,"Microchip Technology unifies timing for critical infrastructure with 
firewall",GPS World,"“Microchip's TimePictra system improves overall situational awareness by 
managing network timing synchronization as well as our GNSS firewall ...",1 month ago
246,microchip,Experts have debunked 6 myths about the COVID-19 vaccine ...,The World Economic Forum,"Myth 4: Vaccines have a microchip that will track and control an 
individual. This conspiracy theory has been propagated by anti-vaxxers 
who ...",4 days ago
247,microchip,US vehicle sales down as Delta adds to supply woes,Capital.com,"Microchip shortages and supply chain disruptions due to COVID-19's Delta 
variant slowed vehicle sales in July as annual purchases hit the ...",3 days ago
248,microchip,Pet Microchips Market Size and Growth 2021-2028 | Key ...,The Manomet Current –,"The Pet Microchips market report also offers a detailed analysis of the 
current market situation on the basis of reliable market figures. This ...",7 hours ago
249,microchip,"Growing Margins Could Help Microchip Technology Stock Regain Early-2021 
Highs",Forbes,"Microchip Technology is a manufacturer of microcontrollers, mixed-signal, 
analog, and Flash-IP integrated circuits. The stock price rise since ...",1 month ago
250,microchip,Adapter für Storage in Rechenzentren Microchip bietet neue ...,Storage-Insider,"Der Komponentenhersteller Microchip hat die Verfügbarkeit dreier neuer 
HBA-Adapter seiner Adaptec-Reihe für Rechenzentren und OEMs ...",22 hours ago
251,microchip,How to Win the Global Battle for Microchip Dominance,Bloomberg.com,"How to Win the Global Battle for Microchip Dominance. Creating new markets 
with novel products will keep the U.S. a step ahead of China and ...",14 Jun 2021
252,semiconductor,"Arista CEO says semiconductor supply chain is ""the worst I've ...",Data Center Dynamics,"The CEO of cloud networking company Arista Networks has warned that the 
global semiconductor shortage is impacting much of the supply chain, ...",5 days ago
253,semiconductor,BE Semiconductor beats Q2 revenue forecasts on higher ...,Reuters,"The Dutch-based maker of semiconductor assembly and packaging equipment 
added it expected revenues in the third quarter to fall by 5%-15% from ...",2 weeks ago
254,semiconductor,Is Taiwan Semiconductor Manufacturing Co. (TSM) A Smart Long-Term Buy?,Yahoo Finance,"In the Q2 2021 investor letter of Wedgewood Partners, the fund mentioned 
Taiwan Semiconductor Manufacturing Company Limited (NYSE: TSM), ...",3 weeks ago
255,semiconductor,"Kyoto Semiconductor Co., Ltd. Launches New Photodiode ...",Business Wire,"Kyoto Semiconductor Co., Ltd. Launches New Photodiode Demonstrating 
Superior Performance With Semtech's Linear Transimpedance Amplifier. 
KP-A ...",4 days ago
256,semiconductor,German carmakers partially shut down amid semiconductor ...,EURACTIV.com,"The German automotive industry is continuing to struggle with a severe 
supply shortage in semiconductors, while national and European ...",2 weeks ago
257,semiconductor,Excelpoint's H1 earnings up over 4 times to US$12m on semiconductor strength,The Business Times,"... thanks to the elevated demand for semiconductors resulting from ... 
continue to see a rising need for semiconductor chips and solutions.",4 days ago
258,semiconductor,Increase in Demand for High Precision in Miniaturization ...,PR Newswire,"The semiconductor sector is expanding rapidly as a result of the driving 
... including semiconductors, medical, automotive, and electronics.",5 days ago
259,semiconductor,2 Semiconductor-Service Growth Stocks to Own Now,The Motley Fool,"The automotive industry has been hit hard by semiconductor shortages. Both 
of these companies offer unique solutions to help expand production ...",3 weeks ago
260,semiconductor,"Nissan 'cannot be optimistic' about the ongoing global chip shortage, CEO 
says",CNBC,"Uchida believes the chip shortage situation will improve but he warned 
there are “many complexities” surrounding semiconductor suppliers as ...",2 weeks ago
261,semiconductor,Semiconductor shortage buffets Japanese companies,The Japan News,"The semiconductors in question are believed to mainly come from China, 
South Korea and Southeast Asia, and they are mainly traded on the ...",1 week ago
262,microchip,"In Transit: As dealers adjust to new-car shortage, along comes mechanics 
strike",Daily Herald,"... have adjusted to telling consumers there is a scarcity of new cars 
courtesy of a microchip shortage, courtesy of the COVID-19 pandemic.",17 hours ago
263,microchip,"Vaccini anti-Covid, ""ci iniettano microchip e metalli"": guida contro le 
bufale",Quotidiano Nazionale,"Vaccini anti-Covid, ""ci iniettano microchip e metalli"": guida contro le 
bufale. La Cina diffonde molte fake news sui social usando finti ...",23 hours ago
264,microchip,The great chip crisis threatens the promise of Moore’s Law,MIT Technology Review,"A shortage of microchips threatens to slow the decades of innovation fueled 
by the promise of ever faster, cheaper computing power.",1 month ago
265,microchip,"3D Sensors Market Current Trends, Future Aspect Analysis ...",The Manomet Current –,"Microchip Technology; Omnivision Technologies; PMD Technologies; 
Softkinetic; Asustek Computer; Cognex Corporation; IFM Electronic GmbH; 
Intel ...",5 days ago
266,microchip,Microchip Technology Announces Pricing of Senior Secured ...,GlobeNewswire,"CHANDLER, Ariz., May 18, 2021 (GLOBE NEWSWIRE) -- Microchip Technology 
Incorporated (NASDAQ: MCHP) (“Microchip,” “we” or “our”) announced ...",18 May 2021
267,microchip,In Italia si lavora ai microchip che ascoltano il cervello ...,ANSA.it,"Il microchip è anche la base per interfacce neurali uomo-macchina di ultima 
generazione per controllare dispostivi elettronici o robotici, come ...",5 days ago
